date,time,subject
2002-09-30,14:14:06,Wekalist archives search
2002-10-01,01:28:08,Difficulty to runn Weka in Win2000
2002-09-30,20:01:56,Difficulty to runn Weka in Win2000
2002-09-30,23:57:50,problem in installation of weka
2002-10-01,01:50:34,problem in installation of weka
2002-10-01,20:27:33,StringToWordVector
2002-10-02,09:30:28,StringToWordVector
2002-10-02,11:11:46,CVS Files
2002-10-02,12:28:32,StringToWordVector
2002-10-02,19:28:42,materiel ressources
2002-10-03,06:10:39,What meaneth these (SVM) numbers
2002-10-03,09:20:32,What meaneth these (SVM) numbers
2002-10-04,15:16:36,StringToWordVector
2002-10-04,15:33:00,Searching the list archives...
2002-10-04,10:18:12,Doubts about a classification model
2002-10-04,13:06:20,Doubts about a classification model
2002-10-05,12:26:12,"Re: Wekalist digest, Vol 1 #217 - 4 msgs"
2002-10-05,15:22:32,Text classification problem
2002-10-06,12:28:32,"Re: Wekalist digest, Vol 1 #218 - 2 msgs"
2002-10-06,15:44:53,Printing a web page
2002-10-06,14:38:19,Cross Validation for Apriori
2002-10-07,11:32:19,Text classification problem
2002-10-07,12:41:33,"Re: Wekalist digest, Vol 1 #219 - 4 msgs"
2002-10-04,11:21:19,Inference in Weka 3-4-3
2002-10-05,21:51:26,about StringToWordVector & text mining
2002-10-07,13:30:29,different results using cv in gui and cli
2002-10-07,15:15:52,about StringToWordVector & text mining
2002-10-07,16:34:42,different results using cv in gui and cli
2002-10-07,15:49:41,different results using cv in gui and cli
2002-10-07,04:59:13,where to download the C version of Weka?
2002-10-07,23:48:44,About multiclass
2002-10-08,00:19:13,where to download the C version of Weka?
2002-10-08,00:34:20,About multiclass
2002-10-08,11:38:08,About multiclass
2002-10-08,12:51:58,"Re: Wekalist digest, Vol 1 #220 - 13 msgs"
2002-10-08,08:34:21,Inference in Weka 3-4-3
2002-10-08,11:18:21,Inference in Weka 3-4-3
2002-10-08,14:37:52,Inference in Weka 3-4-3
2002-10-08,11:06:19,CLUSTERING
2002-10-08,17:03:30,output AND LOG
2002-10-08,12:44:51,Weka Performance / Database Access /ODM
2002-10-08,10:55:36,Problems Using Weka - Help
2002-10-08,17:54:07,Problems Using Weka - Help
2002-10-09,07:55:23,Weka Performance / Database Access /ODM
2002-10-09,11:21:13,Problems Using Weka - Help
2002-10-09,16:36:17,output AND LOG
2002-10-09,12:49:40,"Re: Wekalist digest, Vol 1 #221 - 11 msgs"
2002-10-09,16:16:57,bayesian networks
2002-10-09,11:36:10,Help - Other Problem
2002-10-09,19:12:45,bayesian networks
2002-10-09,23:08:16,weka-3-3-4
2002-10-10,12:39:57,"Re: Wekalist digest, Vol 1 #222 - 6 msgs"
2002-10-09,21:09:26,arff file format
2002-10-09,21:18:39,Arff File Format
2002-10-10,14:02:33,arff file format
2002-10-10,11:37:42,TreeVisualizer string format
2002-10-11,08:15:58,TreeVisualizer string format
2002-10-10,21:42:21,arff file format
2002-10-11,12:48:09,"Re: Wekalist digest, Vol 1 #223 - 7 msgs"
2002-10-11,15:35:25,clustering em
2002-10-11,13:46:41,nominal class with numbers..
2002-10-11,13:47:30,nominal class with numbers..
2002-10-12,12:39:50,"Re: Wekalist digest, Vol 1 #224 - 4 msgs"
2002-10-12,13:20:00,nominal class with numbers..
2002-10-13,12:20:15,"Re: Wekalist digest, Vol 1 #225 - 2 msgs"
2002-10-13,13:39:56,runing weka -3-3-4
2002-10-13,22:58:34,Docs regarding Cost Matrix
2002-10-15,10:19:01,clustering em
2002-10-15,11:35:18,Docs regarding Cost Matrix
2002-10-15,09:05:46,(no subject)
2002-10-14,21:11:23,Docs regarding Cost Matrix
2002-10-15,10:50:03,(no subject)
2002-10-15,23:52:07,Docs regarding Cost Matrix
2002-10-16,14:33:04,Clustering
2002-10-16,15:02:45,Clustering
2002-10-16,15:17:43,weka-3-3-4
2002-10-15,19:21:51,question
2002-10-16,22:56:52,Exporting an ARFF File?
2002-10-16,11:05:11,question
2002-10-16,13:56:52,question
2002-10-16,07:34:50,question
2002-10-16,14:33:38,question
2002-10-16,15:37:07,Exporting an ARFF File?
2002-10-16,12:31:29,question
2002-10-17,19:27:52,question
2002-10-17,09:39:56,Converting from Excel to .ARFF
2002-10-17,19:32:11,Converting from Excel to .ARFF
2002-10-17,11:07:31,Converting from Excel to .ARFF
2002-10-17,13:58:55,Converting from Excel to .ARFF
2002-10-17,21:16:33,Converting from Excel to .ARFF
2002-10-17,21:19:00,Converting from Excel to .ARFF (CORRECTIONS)
2002-10-18,09:51:10,Re: CSV to ARFF
2002-10-18,10:10:56,question
2002-10-18,13:42:12,Docs regarding Cost Matrix 
2002-10-18,14:25:41,weka.classifiers.trees.j48.J48
2002-10-18,15:39:30,weka.classifiers.trees.j48.J48
2002-10-18,20:56:41,out-of-classes problem
2002-10-20,14:48:59,Apriori
2002-10-20,12:55:40,WEKA inputs incorrect type...
2002-10-21,10:33:36,WEKA inputs incorrect type...
2002-10-21,12:00:35,Re: Weka and Text Mining
2002-10-21,12:41:44,Re: Weka and Text Mining
2002-10-21,04:17:56,Re: New Data Mining Book
2002-10-21,08:49:42,(no subject)
2002-10-22,16:51:51,adding a new classifier
2002-10-22,15:51:56,Weka exception
2002-10-23,11:41:03,adding a new classifier
2002-10-23,11:49:20,Weka exception
2002-10-22,18:36:12,Weka exception
2002-10-23,03:46:04,Problems redirecting output ...
2002-10-23,12:03:47,Weka exception
2002-10-23,14:36:48,Problems redirecting output ...
2002-10-24,02:13:53,Clustering
2002-10-23,23:18:32,Clustering
2002-10-24,11:16:07,pure LOO-CV
2002-10-25,10:20:45,Re: Implementing PMML output for WEKA...
2002-10-25,00:35:49,Re: Implementing PMML output for WEKA...
2002-10-25,12:04:02,Implementing PMML output for WEKA
2002-10-27,20:41:58,arff file format
2002-10-28,16:49:51,arff file format
2002-10-28,16:43:55,arff file format
2002-10-28,19:58:11,arff file format
2002-10-24,14:10:33,Implementing PMML output for WEKA...
2002-10-27,23:37:35,problems with weka instalation on Win2000
2002-10-31,16:51:56,TextDirectoryToArff - a utility for text mining in WEKA
2002-10-31,14:26:31,How apply a model to a test file?
2004-06-30,13:39:27,specified results
2004-06-30,08:30:50,(no subject)
2004-06-30,15:56:41,specified results
2004-07-01,18:06:22,Problem using WEKA v3.4 with MySQL/MyODBC
2004-07-02,03:09:32,"RES: Wekalist Digest, Vol 17, Issue 2"
2004-07-02,16:24:12,Problem using WEKA v3.4 with MySQL/MyODBC
2004-07-02,10:48:58,hello!!
2004-07-02,19:17:43,Problem using WEKA v3.4 with MySQL/MyODBC
2004-07-03,14:32:01,Problem using WEKA v3.4 with SQLServer/ORACLE
2004-07-05,03:20:10,Database connection problems
2004-07-05,21:12:20,Frequently used datasets on machine learning
2004-07-06,10:56:22,Standard scripts
2004-07-06,03:41:50,Frequently used datasets on machine learning
2004-07-06,15:02:25,Frequently used datasets on machine learning
2004-07-06,09:47:45,OutOfMemoryError on testing
2004-07-07,01:00:42,concerning the normal density estimator in WEKA
2004-07-06,16:22:59,OutOfMemoryError on testing
2004-07-06,16:56:28,filter order
2004-07-07,17:18:14,Problem using WEKA v3.4 with MySQL/MyODBC
2004-07-07,19:58:06,Probleme
2004-07-07,20:17:14,=?iso-8859-1?q?Probl=E8me_=28bis=29?=
2004-07-07,14:49:08,Problem using WEKA v3.4 with MySQL/MyODBC
2004-07-07,23:48:18,Problem using WEKA v3.4 with MySQL/MyODBC
2004-07-08,09:32:26,RE:Probleme
2004-07-09,10:45:13,Probleme
2004-07-09,17:53:06,Problem using WEKA v3.4 with MySQL/MyODBC
2004-07-10,16:55:12,Experiment - command line
2004-07-10,17:11:19,Experiment - command line
2004-07-12,09:43:59,Experiment - command line
2004-07-12,11:02:56,Experiment - command line
2004-07-13,14:53:47,Comman Line execution
2004-07-13,12:11:42,Comman Line execution
2004-07-14,12:07:29,Train and test set incompatibility
2004-07-14,12:33:45,Train and test set incompatibility
2004-07-14,23:09:27,compile a matlab file using weka with mcc
2004-07-15,11:17:28,global cross-validation of multiple classifiers
2004-07-15,12:20:19,Teaching Materials on Web
2004-07-15,14:54:16,global cross-validation of multiple classifiers
2004-07-16,19:57:25,Teaching Materials on Web
2004-07-16,14:03:16,"Need to do same kind of preprocessing serveral times, 	is there a MACRO FUNCTION?"
2004-07-16,01:20:06,global cross-validation of multiple classifiers
2004-07-16,15:23:26,Problem using WEKA v3.4 with MySQL/MyODBC
2004-07-16,08:40:01,global cross-validation of multiple classifiers
2004-07-16,19:36:14,global cross-validation of multiple classifiers
2004-07-18,16:06:06,Reasoning about the performance of classifiers
2004-07-18,17:21:31,number of support vectors in a SVM
2004-07-18,16:19:55,Newbie quesion: How do you tag an ARFF with the  predictions of a classifier?
2004-07-18,17:20:06,extending C4.5?
2004-07-19,10:20:43,RE: Reasoning about the performance of classifiers
2004-07-18,17:43:51,extending C4.5?
2004-07-19,15:35:52,discrepancy between Weka-results
2004-07-19,09:53:13,extending C4.5?
2004-07-19,10:11:06,RE: Reasoning about the performance of  classifiers
2004-07-19,19:59:21,Tenfold cross-validation
2004-07-20,09:32:32,Tenfold cross-validation
2004-07-20,15:00:44,RE: Reasoning about the performance of classifiers
2004-07-20,17:06:37,discrepancy between Weka-results
2004-07-20,15:17:51,RE: Reasoning about the performance of classifiers
2004-07-20,12:56:01,RE: Reasoning about the performance of classifiers
2004-07-20,13:21:24,RE: Reasoning about the performance of classifiers
2004-07-20,08:23:02,RE: Reasoning about the performance of  classifiers
2004-07-20,10:01:47,RE: Reasoning about the performance of classifiers
2004-07-20,13:08:04,RE: Reasoning about the performance of  classifiers
2004-07-20,21:11:18,RE: Reasoning about the performance of classifiers
2004-07-21,10:45:58,hidden markov models
2004-07-21,12:58:50,Out of memory problems
2004-07-21,13:42:14,Out of memory problems
2004-07-21,11:36:16,hidden markov models
2004-07-21,12:04:10,Creating complete decision trees with J4.8
2004-07-22,11:03:39,Tenfold cross-validation
2004-07-22,10:11:33,Creating complete decision trees with J4.8
2004-07-22,20:46:08,Tenfold cross-validation
2004-07-23,12:48:02,Creating complete decision trees with J4.8
2004-07-23,20:09:45,Batch processing
2004-07-24,12:44:36,Attribute Selection via command line?
2004-07-26,10:52:34,Questions about Weka : M5P
2004-07-27,08:19:32,"Problem with traingset/testset in ""KnowledgeFlow"" 	environment"
2004-07-27,09:16:48,database 
2004-07-27,17:32:09,Weka 3.2 Exception
2004-07-27,18:58:14,Support Vectors and cross-validation
2004-07-27,14:02:09,missing values with StringToWordVector
2004-07-28,13:02:40,missing values with StringToWordVector
2004-07-28,13:32:49,Support Vectors and cross-validation
2004-07-27,20:46:49,Out of memory problems
2004-07-27,22:03:27,using weka's classifier for speaker recognition 
2004-07-28,15:19:30,J48 Classifier
2004-07-28,20:50:30,I've lost J48 !
2004-07-28,16:34:45,ROC  cure & AUC
2004-07-29,08:56:13,ROC  cure & AUC
2004-07-29,02:09:31,ROC  cure & AUC
2004-07-29,00:58:00,about iris ROC
2004-07-29,16:09:15,How to train using One-versus-all (OVA) for SMO?
2004-07-29,08:55:31,ROC  cure & AUC
2004-07-29,19:31:53,How to train using One-versus-all (OVA) for SMO?
2004-07-29,12:52:09,How to train using One-versus-all (OVA) for SMO?
2004-07-29,13:44:59,Running weka from command line
2004-07-29,16:47:42,ROC  cure & AUC
2004-07-29,14:30:57,cost sensitive learning
2004-07-29,19:45:30,References about ZeroR.
2004-07-30,09:58:42,References about ZeroR.
2004-07-29,20:08:29,how to draw ROC of iris.etc. in weka
2004-07-30,11:56:32,ADTree and missing values
2004-07-31,09:28:11,Interesting Books
2004-07-31,06:45:24,Kappa statistic
2003-03-03,06:44:45,remove my name
2003-03-03,10:56:22,remove my name
2003-03-03,14:11:57,Random number seed
2003-03-04,07:47:14,How to build training and testing files
2003-03-04,02:13:03,Unclassified instances
2003-03-04,08:56:32,How to build training and testing files
2003-03-04,15:07:51,JVM
2003-03-04,16:29:56,JVM
2003-03-04,15:35:29,JVM
2003-03-04,17:37:18,JVM
2003-03-05,12:06:49,Graphic represenation of decision trees.
2003-03-05,08:40:35,Graphic represenation of decision trees.
2003-03-05,08:41:00,No subject
2003-03-06,10:09:12,Graphic represenation of decision trees.
