Gtk.BINARY_AGE,<class 'int'>,2420
Gtk.HSV,<class 'gi.types.GObjectMeta'>,<class 'gi.repository.Gtk.HSV'>
Gtk.INPUT_ERROR,<class 'int'>,-1
Gtk.INTERFACE_AGE,<class 'int'>,16
Gtk.LEVEL_BAR_OFFSET_FULL,<class 'str'>,full
Gtk.LEVEL_BAR_OFFSET_HIGH,<class 'str'>,high
Gtk.LEVEL_BAR_OFFSET_LOW,<class 'str'>,low
Gtk.MAJOR_VERSION,<class 'int'>,3
Gtk.MAX_COMPOSE_LEN,<class 'int'>,7
Gtk.MICRO_VERSION,<class 'int'>,20
Gtk.MINOR_VERSION,<class 'int'>,24
Gtk.PAPER_NAME_A3,<class 'str'>,iso_a3
Gtk.PAPER_NAME_A4,<class 'str'>,iso_a4
Gtk.PAPER_NAME_A5,<class 'str'>,iso_a5
Gtk.PAPER_NAME_B5,<class 'str'>,iso_b5
Gtk.PAPER_NAME_EXECUTIVE,<class 'str'>,na_executive
Gtk.PAPER_NAME_LEGAL,<class 'str'>,na_legal
Gtk.PAPER_NAME_LETTER,<class 'str'>,na_letter
Gtk.PATH_PRIO_MASK,<class 'int'>,15
Gtk.PRINT_SETTINGS_COLLATE,<class 'str'>,collate
Gtk.PRINT_SETTINGS_DEFAULT_SOURCE,<class 'str'>,default-source
Gtk.PRINT_SETTINGS_DITHER,<class 'str'>,dither
Gtk.PRINT_SETTINGS_DUPLEX,<class 'str'>,duplex
Gtk.PRINT_SETTINGS_FINISHINGS,<class 'str'>,finishings
Gtk.PRINT_SETTINGS_MEDIA_TYPE,<class 'str'>,media-type
Gtk.PRINT_SETTINGS_NUMBER_UP,<class 'str'>,number-up
Gtk.PRINT_SETTINGS_NUMBER_UP_LAYOUT,<class 'str'>,number-up-layout
Gtk.PRINT_SETTINGS_N_COPIES,<class 'str'>,n-copies
Gtk.PRINT_SETTINGS_ORIENTATION,<class 'str'>,orientation
Gtk.PRINT_SETTINGS_OUTPUT_BASENAME,<class 'str'>,output-basename
Gtk.PRINT_SETTINGS_OUTPUT_BIN,<class 'str'>,output-bin
Gtk.PRINT_SETTINGS_OUTPUT_DIR,<class 'str'>,output-dir
Gtk.PRINT_SETTINGS_OUTPUT_FILE_FORMAT,<class 'str'>,output-file-format
Gtk.PRINT_SETTINGS_OUTPUT_URI,<class 'str'>,output-uri
Gtk.PRINT_SETTINGS_PAGE_RANGES,<class 'str'>,page-ranges
Gtk.PRINT_SETTINGS_PAGE_SET,<class 'str'>,page-set
Gtk.PRINT_SETTINGS_PAPER_FORMAT,<class 'str'>,paper-format
Gtk.PRINT_SETTINGS_PAPER_HEIGHT,<class 'str'>,paper-height
Gtk.PRINT_SETTINGS_PAPER_WIDTH,<class 'str'>,paper-width
Gtk.PRINT_SETTINGS_PRINTER,<class 'str'>,printer
Gtk.PRINT_SETTINGS_PRINTER_LPI,<class 'str'>,printer-lpi
Gtk.PRINT_SETTINGS_PRINT_PAGES,<class 'str'>,print-pages
Gtk.PRINT_SETTINGS_QUALITY,<class 'str'>,quality
Gtk.PRINT_SETTINGS_RESOLUTION,<class 'str'>,resolution
Gtk.PRINT_SETTINGS_RESOLUTION_X,<class 'str'>,resolution-x
Gtk.PRINT_SETTINGS_RESOLUTION_Y,<class 'str'>,resolution-y
Gtk.PRINT_SETTINGS_REVERSE,<class 'str'>,reverse
Gtk.PRINT_SETTINGS_SCALE,<class 'str'>,scale
Gtk.PRINT_SETTINGS_USE_COLOR,<class 'str'>,use-color
Gtk.PRINT_SETTINGS_WIN32_DRIVER_EXTRA,<class 'str'>,win32-driver-extra
Gtk.PRINT_SETTINGS_WIN32_DRIVER_VERSION,<class 'str'>,win32-driver-version
Gtk.PRIORITY_RESIZE,<class 'int'>,110
Gtk.STOCK_ABOUT,<class 'str'>,gtk-about
